Classifier,Fold,Repeat,train_auc,train_f1_macro,val_auc,val_mcc,val_kappa,val_f1_macro,val_accuracy,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Logistic Regression,17,4,0.9391744851582423,0.6242002010023062,0.8606815625209056,0.5045655980681742,0.49463253509496274,0.46417582417582415,0.6458333333333334,0.5185341614906832,"[0.0, 0.18181818181818182, 0.6785714285714286, 0.8524590163934426, 0.6666666666666666]","[0.0, 0.6666666666666666, 0.4523809523809524, 0.7536231884057971, 0.72]","[0.0, 0.2857142857142857, 0.5428571428571428, 0.8, 0.6923076923076923]","[0.0, 0.6666666666666666, 0.4523809523809524, 0.7536231884057971, 0.72]"
Logistic Regression,18,4,0.9422891712208425,0.6248532470244885,0.8238784174849794,0.4440755839211988,0.4317196531791908,0.470985401459854,0.6153846153846154,0.5509018759018758,"[0.14285714285714285, 0.3076923076923077, 0.5681818181818182, 0.8771929824561403, 0.36363636363636365]","[0.5, 0.36363636363636365, 0.6944444444444444, 0.625, 0.5714285714285714]","[0.2222222222222222, 0.3333333333333333, 0.625, 0.7299270072992701, 0.4444444444444444]","[0.5, 0.36363636363636365, 0.6944444444444444, 0.625, 0.5714285714285714]"
Logistic Regression,19,4,0.9379629630882897,0.6251386548509068,0.821692976927773,0.44999370337827727,0.4385752016560782,0.44489006062230957,0.6153846153846154,0.5035128684101287,"[0.1, 0.10526315789473684, 0.6, 0.8636363636363636, 0.5652173913043478]","[0.25, 0.3333333333333333, 0.3409090909090909, 0.7808219178082192, 0.8125]","[0.14285714285714285, 0.16, 0.43478260869565216, 0.8201438848920863, 0.6666666666666666]","[0.25, 0.3333333333333333, 0.3409090909090909, 0.7808219178082192, 0.8125]"
Logistic Regression,20,4,0.9269278821456378,0.5559369235964982,0.9088624136436494,0.5214504577688581,0.5017067273503059,0.47108427868932273,0.6573426573426573,0.5606811145510836,"[0.0, 0.21428571428571427, 0.8421052631578947, 0.8769230769230769, 0.5172413793103449]","[0.0, 0.75, 0.42105263157894735, 0.75, 0.8823529411764706]","[0.0, 0.3333333333333333, 0.5614035087719298, 0.8085106382978723, 0.6521739130434783]","[0.0, 0.75, 0.42105263157894735, 0.75, 0.8823529411764706]"
Logistic Regression,21,5,0.9397468242899574,0.6114404317505673,0.8662820814807116,0.4427155792321976,0.43632193793449436,0.49478829303850647,0.6153846153846154,0.5538847296494356,"[0.2, 0.2631578947368421, 0.52, 0.796875, 0.6]","[0.3333333333333333, 0.5555555555555556, 0.38235294117647056, 0.68, 0.8181818181818182]","[0.25, 0.35714285714285715, 0.4406779661016949, 0.7338129496402878, 0.6923076923076923]","[0.3333333333333333, 0.5555555555555556, 0.38235294117647056, 0.68, 0.8181818181818182]"
Logistic Regression,22,5,0.9361871683883299,0.6165512711226997,0.8001849895079062,0.4209047893991358,0.4054500412881915,0.3926583850931677,0.5833333333333334,0.42638888888888893,"[0.0, 0.09523809523809523, 0.4782608695652174, 0.9482758620689655, 0.5]","[0.0, 0.2222222222222222, 0.3333333333333333, 0.6875, 0.8888888888888888]","[0.0, 0.13333333333333333, 0.39285714285714285, 0.7971014492753623, 0.64]","[0.0, 0.2222222222222222, 0.3333333333333333, 0.6875, 0.8888888888888888]"
Logistic Regression,23,5,0.9361581843997477,0.6366422266381309,0.8530576457776222,0.48144410494051637,0.4637611199227639,0.4328972219494259,0.625,0.49536867531146705,"[0.0, 0.1111111111111111, 0.7777777777777778, 0.8688524590163934, 0.5416666666666666]","[0.0, 0.6, 0.45652173913043476, 0.7361111111111112, 0.6842105263157895]","[0.0, 0.1875, 0.5753424657534246, 0.7969924812030075, 0.6046511627906976]","[0.0, 0.6, 0.45652173913043476, 0.7361111111111112, 0.6842105263157895]"
Logistic Regression,24,5,0.9329198684518014,0.590144074015184,0.8048645356808868,0.37782212335035376,0.36828698790065806,0.3882561192089407,0.5694444444444444,0.4231557472063801,"[0.0, 0.14285714285714285, 0.5, 0.8709677419354839, 0.43478260869565216]","[0.0, 0.3333333333333333, 0.38461538461538464, 0.6835443037974683, 0.7142857142857143]","[0.0, 0.2, 0.43478260869565216, 0.7659574468085106, 0.5405405405405406]","[0.0, 0.3333333333333333, 0.38461538461538464, 0.6835443037974683, 0.7142857142857143]"
Logistic Regression,25,5,0.9437302041163435,0.6428717090037843,0.8299432755899584,0.4881271443484883,0.4826765799256506,0.4157911084591429,0.6549295774647887,0.4210876730388925,"[0.0, 0.0, 0.6, 0.873015873015873, 0.6296296296296297]","[0.0, 0.0, 0.5121951219512195, 0.7432432432432432, 0.85]","[0.0, 0.0, 0.5526315789473685, 0.8029197080291971, 0.723404255319149]","[0.0, 0.0, 0.5121951219512195, 0.7432432432432432, 0.85]"
Logistic Regression,26,6,0.9369819609856089,0.5878564252984769,0.9082371602720942,0.4994274062029327,0.4811320754716981,0.5491971940422644,0.6503496503496503,0.7057983128686998,"[0.25, 0.35294117647058826, 0.6363636363636364, 0.9, 0.4]","[0.6666666666666666, 0.75, 0.5526315789473685, 0.6506024096385542, 0.9090909090909091]","[0.36363636363636365, 0.48, 0.5915492957746479, 0.7552447552447552, 0.5555555555555556]","[0.6666666666666666, 0.75, 0.5526315789473685, 0.6506024096385542, 0.9090909090909091]"
Logistic Regression,27,6,0.9449525683922605,0.6138748677150456,0.8236930510548417,0.43705332028536464,0.4322725992678119,0.4522558922558922,0.6111111111111112,0.47080103359173125,"[0.0, 0.3333333333333333, 0.5882352941176471, 0.8253968253968254, 0.5]","[0.0, 0.5, 0.46511627906976744, 0.7222222222222222, 0.6666666666666666]","[0.0, 0.4, 0.5194805194805194, 0.7703703703703704, 0.5714285714285714]","[0.0, 0.5, 0.46511627906976744, 0.7222222222222222, 0.6666666666666666]"
Logistic Regression,28,6,0.9397496159443939,0.5961323659500041,0.8602802188502816,0.509231927366622,0.500990099009901,0.47350765176852133,0.6597222222222222,0.5471003392056024,"[0.125, 0.0625, 0.5925925925925926, 0.875, 0.7241379310344828]","[0.5, 0.25, 0.42105263157894735, 0.7567567567567568, 0.8076923076923077]","[0.2, 0.1, 0.49230769230769234, 0.8115942028985508, 0.7636363636363637]","[0.5, 0.25, 0.42105263157894735, 0.7567567567567568, 0.8076923076923077]"
Logistic Regression,29,6,0.920431083920316,0.5985838996184574,0.9054095154636499,0.47289392368011074,0.46087636932707354,0.4580689311932312,0.6293706293706294,0.6357990867579909,"[0.125, 0.058823529411764705, 0.6774193548387096, 0.8666666666666667, 0.5555555555555556]","[1.0, 0.25, 0.4666666666666667, 0.7123287671232876, 0.75]","[0.2222222222222222, 0.09523809523809523, 0.5526315789473685, 0.7819548872180451, 0.6382978723404256]","[1.0, 0.25, 0.4666666666666667, 0.7123287671232876, 0.75]"
Logistic Regression,30,6,0.937206261513553,0.5880625337483205,0.8272432876266468,0.47271062379638473,0.4643423137876387,0.4391432051006518,0.6363636363636364,0.47508652267272955,"[0.0, 0.23529411764705882, 0.5384615384615384, 0.9047619047619048, 0.47058823529411764]","[0.0, 0.4, 0.4827586206896552, 0.7307692307692307, 0.7619047619047619]","[0.0, 0.2962962962962963, 0.509090909090909, 0.8085106382978723, 0.5818181818181818]","[0.0, 0.4, 0.4827586206896552, 0.7307692307692307, 0.7619047619047619]"
Logistic Regression,31,7,0.9394302433967091,0.6331054545863674,0.8844606063032039,0.4799585979615441,0.4721626668510962,0.4510705057216685,0.6319444444444444,0.48220673635307787,"[0.0, 0.25, 0.6129032258064516, 0.847457627118644, 0.5294117647058824]","[0.0, 0.3333333333333333, 0.4634146341463415, 0.7142857142857143, 0.9]","[0.0, 0.2857142857142857, 0.5277777777777778, 0.7751937984496124, 0.6666666666666666]","[0.0, 0.3333333333333333, 0.4634146341463415, 0.7142857142857143, 0.9]"
Logistic Regression,32,7,0.9456849506979766,0.6620792602220995,0.8144314011768495,0.3935734202138278,0.3825125628140704,0.4098015394567119,0.5555555555555556,0.432960687960688,"[0.1, 0.047619047619047616, 0.45161290322580644, 0.8846153846153846, 0.6]","[0.2, 0.125, 0.4, 0.6216216216216216, 0.8181818181818182]","[0.13333333333333333, 0.06896551724137931, 0.42424242424242425, 0.7301587301587301, 0.6923076923076923]","[0.2, 0.125, 0.4, 0.6216216216216216, 0.8181818181818182]"
Logistic Regression,33,7,0.9350302773011698,0.609516849044124,0.8880361567846012,0.5245282444452751,0.5134998190372784,0.5076344088031233,0.6713286713286714,0.6977470700031676,"[0.08333333333333333, 0.25, 0.7666666666666667, 0.890625, 0.5238095238095238]","[1.0, 0.5, 0.5609756097560976, 0.7402597402597403, 0.6875]","[0.15384615384615385, 0.3333333333333333, 0.647887323943662, 0.8085106382978723, 0.5945945945945946]","[1.0, 0.5, 0.5609756097560976, 0.7402597402597403, 0.6875]"
Logistic Regression,34,7,0.9374881252467826,0.6066814721641054,0.8964746584049333,0.5482298727556889,0.5350967932614157,0.4688120191726749,0.6923076923076923,0.5623391812865497,"[0.0, 0.14285714285714285, 0.68, 0.9411764705882353, 0.6]","[0.0, 0.75, 0.4722222222222222, 0.8, 0.7894736842105263]","[0.0, 0.24, 0.5573770491803278, 0.8648648648648649, 0.6818181818181818]","[0.0, 0.75, 0.4722222222222222, 0.8, 0.7894736842105263]"
Logistic Regression,35,7,0.9355021466303406,0.578881010881011,0.8571898746232017,0.4706327001414994,0.460656707587635,0.44654600115311754,0.6433566433566433,0.49924050632911393,"[0.0, 0.23076923076923078, 0.7096774193548387, 0.8461538461538461, 0.41379310344827586]","[0.0, 0.5, 0.55, 0.6962025316455697, 0.75]","[0.0, 0.3157894736842105, 0.6197183098591549, 0.7638888888888888, 0.5333333333333333]","[0.0, 0.5, 0.55, 0.6962025316455697, 0.75]"
Logistic Regression,36,8,0.9392660559231208,0.6130062392868502,0.8362363043903895,0.4721706370354521,0.4611446853892641,0.4664754325797179,0.6293706293706294,0.5277254144901204,"[0.0, 0.3125, 0.6206896551724138, 0.8524590163934426, 0.5]","[0.0, 0.625, 0.42857142857142855, 0.7027027027027027, 0.8823529411764706]","[0.0, 0.4166666666666667, 0.5070422535211268, 0.7703703703703704, 0.6382978723404256]","[0.0, 0.625, 0.42857142857142855, 0.7027027027027027, 0.8823529411764706]"
Logistic Regression,37,8,0.9398901193645735,0.6157269264156261,0.8402929769892055,0.42880684670016306,0.4236359806193386,0.42688034188034185,0.6041666666666666,0.4672530425162004,"[0.1, 0.09090909090909091, 0.6176470588235294, 0.8360655737704918, 0.4642857142857143]","[0.3333333333333333, 0.1111111111111111, 0.5526315789473685, 0.6891891891891891, 0.65]","[0.15384615384615385, 0.1, 0.5833333333333334, 0.7555555555555555, 0.5416666666666666]","[0.3333333333333333, 0.1111111111111111, 0.5526315789473685, 0.6891891891891891, 0.65]"
Logistic Regression,38,8,0.9388023893207873,0.6323721786327147,0.8859397672863562,0.41304573263827954,0.40383497966298665,0.5035155271803136,0.6041666666666666,0.6002399878870467,"[0.2857142857142857, 0.3, 0.5714285714285714, 0.7878787878787878, 0.42424242424242425]","[0.6666666666666666, 0.42857142857142855, 0.43243243243243246, 0.65, 0.8235294117647058]","[0.4, 0.35294117647058826, 0.49230769230769234, 0.7123287671232876, 0.56]","[0.6666666666666666, 0.42857142857142855, 0.43243243243243246, 0.65, 0.8235294117647058]"
Logistic Regression,39,8,0.934290572973078,0.5973122526867718,0.8857556911549025,0.5507440685884839,0.53860819828408,0.4885869385869386,0.6923076923076923,0.5337477396021699,"[0.0, 0.21052631578947367, 0.6666666666666666, 0.9538461538461539, 0.6190476190476191]","[0.0, 0.5714285714285714, 0.5, 0.7848101265822784, 0.8125]","[0.0, 0.3076923076923077, 0.5714285714285714, 0.8611111111111112, 0.7027027027027027]","[0.0, 0.5714285714285714, 0.5, 0.7848101265822784, 0.8125]"
Logistic Regression,40,8,0.9406840400462972,0.6182991368533031,0.8481001683042916,0.4415505465328162,0.432579185520362,0.3950849263826363,0.6013986013986014,0.40212049878518014,"[0.0, 0.05263157894736842, 0.5185185185185185, 0.9310344827586207, 0.5483870967741935]","[0.0, 0.14285714285714285, 0.3888888888888889, 0.7397260273972602, 0.7391304347826086]","[0.0, 0.07692307692307693, 0.4444444444444444, 0.8244274809160306, 0.6296296296296297]","[0.0, 0.14285714285714285, 0.3888888888888889, 0.7397260273972602, 0.7391304347826086]"
Logistic Regression,41,9,0.9314943195582159,0.5750721044224506,0.7758309883866252,0.5110393312389163,0.5023041474654377,0.45629414610546687,0.6875,0.5164720420142107,"[0.0, 0.125, 0.7307692307692307, 0.868421052631579, 0.5714285714285714]","[0.0, 0.5, 0.48717948717948717, 0.7951807228915663, 0.8]","[0.0, 0.2, 0.5846153846153846, 0.8301886792452831, 0.6666666666666666]","[0.0, 0.5, 0.48717948717948717, 0.7951807228915663, 0.8]"
