,Test,p-value
squareroot_gldm_LargeDependenceEmphasis,Kruskal-Wallis,5.995956319389819e-184
wavelet2-LL_gldm_SmallDependenceEmphasis,Kruskal-Wallis,7.295248459773697e-184
wavelet2-LH_glcm_JointEnergy,Kruskal-Wallis,8.608872819159133e-184
log-sigma-3-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,Kruskal-Wallis,4.119096983198739e-183
log-sigma-3-mm-3D_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,1.2565269793418251e-182
squareroot_glszm_SmallAreaLowGrayLevelEmphasis,Kruskal-Wallis,4.6550386140862254e-182
log-sigma-3-mm-3D_glcm_JointEntropy,Kruskal-Wallis,1.1647079106896302e-181
wavelet2-LH_firstorder_Uniformity,Kruskal-Wallis,2.799713909034347e-181
log-sigma-0-6-mm-3D_glcm_ClusterProminence,Kruskal-Wallis,7.986374070879475e-181
log-sigma-0-6-mm-3D_glcm_MCC,Kruskal-Wallis,8.155178065120011e-181
wavelet2-LL_glrlm_ShortRunEmphasis,Kruskal-Wallis,5.8094438259444545e-179
original_glrlm_RunPercentage,Kruskal-Wallis,6.437167420873013e-179
wavelet2-LH_glcm_JointEntropy,Kruskal-Wallis,8.066601318136633e-179
wavelet2-LL_glrlm_RunLengthNonUniformityNormalized,Kruskal-Wallis,2.5839194308082475e-177
original_glrlm_ShortRunEmphasis,Kruskal-Wallis,8.05991080746006e-177
wavelet2-LL_glszm_LargeAreaHighGrayLevelEmphasis,Kruskal-Wallis,1.831683356221901e-176
original_gldm_LargeDependenceEmphasis,Kruskal-Wallis,2.298922869289695e-176
log-sigma-2-mm-3D_firstorder_InterquartileRange,Kruskal-Wallis,6.733036971584213e-176
log-sigma-2-mm-3D_firstorder_Range,Kruskal-Wallis,1.2329721688662675e-174
wavelet-LH_glcm_Imc2,Kruskal-Wallis,1.3192503972819148e-174
original_glcm_MaximumProbability,Kruskal-Wallis,1.3756263878625974e-174
log-sigma-3-mm-3D_glszm_GrayLevelVariance,Kruskal-Wallis,2.5875381859472254e-173
squareroot_glszm_LargeAreaEmphasis,Kruskal-Wallis,2.2241191003116006e-172
log-sigma-2-mm-3D_glszm_LowGrayLevelZoneEmphasis,Kruskal-Wallis,3.2320900136985394e-171
squareroot_glrlm_LongRunEmphasis,Kruskal-Wallis,1.721927231676219e-170
wavelet2-LH_firstorder_Entropy,Kruskal-Wallis,1.959793778441766e-170
logarithm_gldm_LargeDependenceEmphasis,Kruskal-Wallis,2.1293247872639564e-170
log-sigma-2-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,Kruskal-Wallis,4.430492226207731e-170
wavelet2-LL_glcm_Contrast,Kruskal-Wallis,5.273258741563228e-170
